FILM,Fandango_stars,Fandango_rating,RottenTomatoes,RottenTomatoes_User,Metacritic,Metacritic_User,IMDB,Fandango_user_vote_count,Metacritic_user_vote_count,IMDB_user_vote_count,YEAR,Rotten_critic_user_diff,Metacritic_critic_user_diff,Fandango_stars_diff
Selma (2014),5.0,4.6,5.0,4.3,4.4,3.6,3.8,7025,316,45344,2014,0.7000000000000002,0.8000000000000003,0.40000000000000036
Annie (2014),4.5,4.2,1.4,3.0,1.6,2.4,2.6,6835,108,19222,2014,1.6,0.7999999999999998,0.2999999999999998
Taken 3 (2015),4.5,4.1,0.4,2.3,1.3,2.3,3.0,6757,240,104235,2015,1.9,0.9999999999999998,0.40000000000000036
The Wedding Ringer (2015),4.5,4.4,1.4,3.3,1.8,1.6,3.4,6506,126,37292,2015,1.9,0.19999999999999996,0.09999999999999964
Ted 2 (2015),4.5,4.1,2.3,2.9,2.4,3.2,3.3,6437,197,49102,2015,0.6000000000000001,0.8000000000000003,0.40000000000000036
Fantastic Four (2015),3.0,2.7,0.4,1.0,1.4,1.2,2.0,6288,421,39838,2015,0.6,0.19999999999999996,0.2999999999999998
Terminator Genisys (2015),4.5,4.2,1.3,3.0,1.9,3.2,3.4,6272,779,85585,2015,1.7,1.3000000000000003,0.2999999999999998
Get Hard (2015),4.0,3.9,1.4,2.4,1.7,1.9,3.0,5933,145,50022,2015,1.0,0.19999999999999996,0.10000000000000009
Southpaw (2015),5.0,4.6,3.0,4.0,2.8,4.1,3.9,5597,128,23561,2015,1.0,1.2999999999999998,0.40000000000000036
Night at the Museum: Secret of the Tomb (2014),4.5,4.1,2.5,2.9,2.4,2.9,3.2,5445,103,50291,2014,0.3999999999999999,0.5,0.40000000000000036
Focus (2015),4.0,3.9,2.8,2.7,2.8,3.1,3.3,4933,167,101264,2015,0.09999999999999964,0.30000000000000027,0.10000000000000009
Pitch Perfect 2 (2015),4.5,4.2,3.4,3.4,3.2,2.8,3.4,4577,192,56333,2015,0.0,0.40000000000000036,0.2999999999999998
The SpongeBob Movie: Sponge Out of Water (2015),3.5,3.3,3.9,2.8,3.1,3.2,3.0,4493,196,26046,2015,1.1,0.10000000000000009,0.20000000000000018
Entourage (2015),4.5,4.2,1.6,3.4,1.9,2.6,3.6,4279,96,21914,2015,1.7999999999999998,0.7000000000000002,0.2999999999999998
Birdman (2014),4.0,3.7,4.6,3.9,4.4,4.0,4.0,4194,1171,303505,2014,0.6999999999999997,0.40000000000000036,0.2999999999999998
Jupiter Ascending (2015),3.5,3.4,1.3,2.0,2.0,2.2,2.8,4122,503,105412,2015,0.7,0.20000000000000018,0.10000000000000009
Paddington (2015),4.5,4.3,4.9,4.0,3.8,4.1,3.6,4045,149,38593,2015,0.9000000000000004,0.2999999999999998,0.20000000000000018
Pixels (2015),4.5,4.1,0.8,2.7,1.4,2.6,2.8,3886,246,19521,2015,1.9000000000000001,1.2000000000000002,0.40000000000000036
Vacation (2015),4.0,3.8,1.4,2.8,1.7,3.1,3.2,3815,72,8179,2015,1.4,1.4000000000000001,0.20000000000000018
Chappie (2015),4.0,3.8,1.5,2.8,2.0,3.7,3.5,3642,637,125088,2015,1.2999999999999998,1.7000000000000002,0.20000000000000018
Ex Machina (2015),4.5,4.1,4.6,4.3,3.9,4.0,3.8,3458,672,154499,2015,0.2999999999999998,0.10000000000000009,0.40000000000000036
Max (2015),4.5,4.5,1.8,3.6,2.4,3.0,3.5,3412,15,5444,2015,1.8,0.6000000000000001,0.0
"McFarland, USA (2015)",5.0,4.6,4.0,4.4,3.0,3.6,3.8,3364,59,13769,2015,0.40000000000000036,0.6000000000000001,0.40000000000000036
The Age of Adaline (2015),4.5,4.2,2.7,3.4,2.6,3.7,3.6,3325,100,45510,2015,0.6999999999999997,1.1,0.2999999999999998
Insidious: Chapter 3 (2015),4.5,4.1,3.0,2.8,2.6,3.4,3.2,3276,115,25134,2015,0.20000000000000018,0.7999999999999998,0.40000000000000036
Top Five (2014),4.0,3.5,4.3,3.2,4.0,3.4,3.2,3223,124,16876,2014,1.0999999999999996,0.6000000000000001,0.5
Paul Blart: Mall Cop 2 (2015),3.5,3.5,0.2,1.8,0.6,1.2,2.2,3054,211,15004,2015,1.6,0.6,0.0
The Boy Next Door (2015),4.0,3.6,0.5,1.8,1.5,2.8,2.3,2800,75,19658,2015,1.3,1.2999999999999998,0.3999999999999999
Poltergeist (2015),3.0,2.8,1.6,1.2,2.4,1.8,2.5,2704,142,21372,2015,0.40000000000000013,0.5999999999999999,0.20000000000000018
The Man From U.N.C.L.E. (2015),4.5,4.1,3.4,4.0,2.8,4.0,3.8,2686,144,22104,2015,0.6000000000000001,1.2000000000000002,0.40000000000000036
The Gift (2015),4.0,3.7,4.6,4.0,3.8,4.2,3.8,2680,121,10891,2015,0.5999999999999996,0.40000000000000036,0.2999999999999998
Hot Pursuit (2015),4.0,3.7,0.4,1.8,1.6,1.8,2.4,2618,78,17061,2015,1.4,0.19999999999999996,0.2999999999999998
The Longest Ride (2015),4.5,4.5,1.6,3.6,1.6,2.4,3.6,2603,49,25214,2015,2.0,0.7999999999999998,0.0
Unfriended (2015),3.0,2.7,3.0,2.0,3.0,2.9,3.0,2507,130,22348,2015,1.0,0.10000000000000009,0.2999999999999998
Woman in Gold (2015),4.5,4.4,2.6,4.0,2.6,3.6,3.7,2435,72,17957,2015,1.4,1.0,0.09999999999999964
Aloha (2015),3.5,3.1,1.0,1.6,2.0,2.0,2.8,2284,67,12255,2015,0.6000000000000001,0.0,0.3999999999999999
The DUFF (2015),4.5,4.2,3.6,3.4,2.8,3.2,3.3,2273,69,33594,2015,0.20000000000000018,0.40000000000000036,0.2999999999999998
Dope (2015),4.5,4.3,4.4,4.3,3.6,3.6,3.8,2195,43,4911,2015,0.10000000000000053,0.0,0.20000000000000018
It Follows (2015),3.0,2.9,4.8,3.2,4.2,3.8,3.4,2097,551,64656,2015,1.5999999999999996,0.40000000000000036,0.10000000000000009
Run All Night (2015),4.5,4.1,3.0,3.0,3.0,3.6,3.3,2066,141,50438,2015,0.0,0.6000000000000001,0.40000000000000036
The Gallows (2015),3.0,2.9,0.8,1.4,1.5,3.5,2.2,1896,80,5511,2015,0.5999999999999999,2.0,0.10000000000000009
The Second Best Exotic Marigold Hotel (2015),4.0,3.9,3.1,3.2,2.6,3.0,3.3,1870,41,12940,2015,0.10000000000000009,0.3999999999999999,0.10000000000000009
Black or White (2015),4.5,4.2,2.0,3.4,2.2,4.0,3.3,1862,24,4857,2015,1.4,1.7999999999999998,0.2999999999999998
Project Almanac (2015),4.0,3.7,1.7,2.3,2.4,2.7,3.2,1834,95,40057,2015,0.5999999999999999,0.30000000000000027,0.2999999999999998
Do You Believe? (2015),5.0,4.5,0.9,4.2,1.1,2.4,2.7,1793,31,3136,2015,3.3000000000000003,1.2999999999999998,0.5
Paper Towns (2015),4.0,3.8,2.8,2.8,2.8,3.1,3.4,1750,51,14156,2015,0.0,0.30000000000000027,0.20000000000000018
The Lazarus Effect (2015),3.0,3.0,0.7,1.2,1.6,2.4,2.6,1651,62,17691,2015,0.5,0.7999999999999998,0.0
Big Eyes (2014),4.0,3.8,3.6,3.4,3.1,3.8,3.5,1501,127,39152,2014,0.20000000000000018,0.6999999999999997,0.20000000000000018
Ricki and the Flash (2015),4.0,3.7,3.2,2.6,2.7,3.5,3.1,1462,37,1769,2015,0.6000000000000001,0.7999999999999998,0.2999999999999998
Blackhat (2015),3.0,2.8,1.7,1.2,2.6,2.7,2.7,1430,80,27328,2015,0.5,0.10000000000000009,0.20000000000000018
Self/less (2015),4.0,3.8,1.0,2.6,1.7,4.2,3.3,1415,77,5626,2015,1.6,2.5,0.20000000000000018
Mr. Holmes (2015),4.0,4.0,4.4,3.9,3.4,4.0,3.7,1348,33,7367,2015,0.5000000000000004,0.6000000000000001,0.0
The Woman In Black 2 Angel of Death (2015),3.0,3.0,1.1,1.2,2.1,2.2,2.4,1333,55,14873,2015,0.09999999999999987,0.10000000000000009,0.0
Still Alice (2015),4.5,4.1,4.4,4.2,3.6,3.9,3.8,1258,153,57123,2015,0.20000000000000018,0.2999999999999998,0.40000000000000036
Seventh Son (2015),3.5,3.2,0.6,1.8,1.5,2.0,2.8,1213,126,41177,2015,1.2000000000000002,0.5,0.2999999999999998
Mortdecai (2015),3.5,3.2,0.6,1.5,1.4,1.6,2.8,1196,144,31878,2015,0.9,0.20000000000000018,0.2999999999999998
Strange Magic (2015),3.5,3.4,0.8,2.5,1.2,2.6,2.8,1117,41,3658,2015,1.7,1.4000000000000001,0.10000000000000009
Inherent Vice (2014),3.0,2.9,3.6,2.6,4.0,3.7,3.4,1078,286,44711,2014,1.0,0.2999999999999998,0.10000000000000009
Hot Tub Time Machine 2 (2015),3.5,3.0,0.7,1.4,1.4,1.7,2.6,1021,88,19560,2015,0.7,0.30000000000000004,0.5
The Gunman (2015),3.5,3.4,0.8,1.7,2.0,2.2,2.9,996,49,16663,2015,0.8999999999999999,0.20000000000000018,0.10000000000000009
Sinister 2 (2015),3.5,3.3,0.6,1.7,1.6,2.5,2.8,973,37,3200,2015,1.1,0.8999999999999999,0.20000000000000018
Hitman: Agent 47 (2015),4.0,3.9,0.4,2.4,1.4,1.6,3.0,917,67,4260,2015,2.0,0.20000000000000018,0.10000000000000009
Shaun the Sheep Movie (2015),4.5,4.0,5.0,4.1,4.0,4.4,3.7,896,62,12227,2015,0.9000000000000004,0.40000000000000036,0.5
Love & Mercy (2015),4.5,4.0,4.4,4.4,4.0,4.2,3.9,864,54,5367,2015,0.0,0.20000000000000018,0.5
Unfinished Business (2015),3.5,3.2,0.6,1.4,1.6,1.9,2.7,821,39,14346,2015,0.7999999999999999,0.2999999999999998,0.2999999999999998
The Loft (2015),4.0,3.6,0.6,2.0,1.2,1.2,3.2,811,80,21319,2015,1.4,0.0,0.3999999999999999
Little Boy (2015),4.5,4.3,1.0,4.0,1.5,3.0,3.7,811,38,5927,2015,3.0,1.5,0.20000000000000018
Far From The Madding Crowd (2015),4.5,4.0,4.2,3.8,3.6,3.8,3.6,804,35,12129,2015,0.40000000000000036,0.19999999999999973,0.5
Amy (2015),4.5,4.4,4.8,4.6,4.2,4.4,4.0,729,60,5630,2015,0.20000000000000018,0.20000000000000018,0.09999999999999964
Monkey Kingdom (2015),4.5,4.2,4.7,3.8,3.6,3.8,3.6,701,15,883,2015,0.9000000000000004,0.19999999999999973,0.2999999999999998
A Most Violent Year (2014),3.5,3.4,4.5,3.4,4.0,3.5,3.6,675,133,32166,2014,1.1,0.5,0.10000000000000009
American Ultra (2015),4.0,3.7,2.3,2.6,2.5,3.4,3.2,638,42,3017,2015,0.30000000000000027,0.8999999999999999,0.2999999999999998
Me and Earl and The Dying Girl (2015),4.5,4.3,4.0,4.4,3.7,4.2,4.1,624,41,5269,2015,0.40000000000000036,0.5,0.20000000000000018
True Story (2015),3.5,3.2,2.2,2.0,2.5,2.8,3.2,540,37,16069,2015,0.20000000000000018,0.2999999999999998,0.2999999999999998
Danny Collins (2015),4.0,4.0,3.8,3.8,2.9,3.6,3.6,531,33,11206,2015,0.0,0.7000000000000002,0.0
Cake (2015),3.5,3.4,2.4,2.4,2.4,3.2,3.2,482,44,19627,2015,0.0,0.8000000000000003,0.10000000000000009
Spare Parts (2015),4.5,4.5,2.6,4.2,2.5,3.6,3.6,450,7,47377,2015,1.6,1.1,0.0
While We're Young (2015),3.0,2.9,4.2,2.6,3.8,3.4,3.2,449,65,17647,2015,1.6,0.3999999999999999,0.10000000000000009
The Water Diviner (2015),4.5,4.0,3.2,3.1,2.5,3.4,3.6,397,34,39373,2015,0.10000000000000009,0.8999999999999999,0.5
Child 44 (2015),4.0,3.7,1.3,2.2,2.0,2.6,3.2,308,73,19220,2015,0.9000000000000001,0.6000000000000001,0.2999999999999998
Mr. Turner (2014),3.5,3.2,4.9,2.8,4.7,3.3,3.4,290,98,13296,2014,2.1000000000000005,1.4000000000000004,0.2999999999999998
I'll See You In My Dreams (2015),4.0,3.6,4.7,3.5,3.8,3.4,3.4,281,14,1151,2015,1.2000000000000002,0.3999999999999999,0.3999999999999999
What We Do in the Shadows (2015),4.5,4.3,4.8,4.3,3.8,4.2,3.8,259,69,39561,2015,0.5,0.40000000000000036,0.20000000000000018
Irrational Man (2015),4.0,3.5,2.1,2.6,2.6,3.8,3.4,252,17,2680,2015,0.5,1.1999999999999997,0.5
Wild Tales (2014),4.5,4.1,4.8,4.6,3.8,4.4,4.1,235,107,50285,2014,0.20000000000000018,0.6000000000000005,0.40000000000000036
Black Sea (2015),4.0,3.5,4.1,3.0,3.1,3.3,3.2,218,37,16547,2015,1.0999999999999996,0.19999999999999973,0.5
The Vatican Tapes (2015),3.0,2.9,0.6,1.0,1.8,2.7,2.3,210,5,952,2015,0.4,0.9000000000000001,0.10000000000000009
'71 (2015),3.5,3.5,4.8,4.1,4.2,3.8,3.6,192,60,24116,2015,0.7000000000000002,0.40000000000000036,0.0
Clouds of Sils Maria (2015),3.5,3.4,4.4,3.4,3.9,3.6,3.4,162,36,11392,2015,1.0000000000000004,0.2999999999999998,0.10000000000000009
Testament of Youth (2015),4.0,3.9,4.0,4.0,3.8,4.0,3.6,127,15,5495,2015,0.0,0.20000000000000018,0.10000000000000009
Infinitely Polar Bear (2015),4.0,3.9,4.0,3.8,3.2,4.0,3.6,124,8,1062,2015,0.20000000000000018,0.7999999999999998,0.10000000000000009
The End of the Tour (2015),4.5,4.1,4.6,4.4,4.2,3.8,4.0,121,19,1320,2015,0.1999999999999993,0.40000000000000036,0.40000000000000036
"Two Days, One Night (2014)",3.5,3.5,4.8,3.9,4.4,4.4,3.7,118,123,24345,2014,0.8999999999999999,0.0,0.0
The Overnight (2015),3.5,3.3,4.1,3.2,3.2,4.3,3.4,110,13,867,2015,0.8999999999999995,1.0999999999999996,0.20000000000000018
The Last Five Years (2015),4.5,4.4,3.0,3.0,3.0,3.4,3.0,99,20,4110,2015,0.0,0.3999999999999999,0.09999999999999964
Maggie (2015),3.5,3.3,2.7,1.6,2.6,3.2,2.8,95,90,18986,2015,1.1,0.6000000000000001,0.20000000000000018
The Salt of the Earth (2015),4.5,4.3,4.8,4.5,4.2,3.9,4.2,83,13,6605,2015,0.2999999999999998,0.30000000000000027,0.20000000000000018
A Little Chaos (2015),4.0,3.9,2.0,2.4,2.6,3.5,3.2,83,7,4778,2015,0.3999999999999999,0.8999999999999999,0.10000000000000009
5 Flights Up (2015),4.0,3.6,2.6,2.4,2.8,3.4,3.0,79,6,2174,2015,0.20000000000000018,0.6000000000000001,0.3999999999999999
Timbuktu (2015),4.0,3.6,5.0,3.9,4.6,3.4,3.6,74,37,6246,2015,1.1,1.1999999999999997,0.3999999999999999
Phoenix (2015),3.5,3.4,5.0,4.0,4.6,4.0,3.6,70,21,3687,2015,1.0,0.5999999999999996,0.10000000000000009
Song of the Sea (2014),4.5,4.3,5.0,4.6,4.3,4.1,4.1,66,62,14067,2014,0.40000000000000036,0.20000000000000018,0.20000000000000018
The Wolfpack (2015),3.5,3.4,4.2,3.6,3.8,3.5,3.6,66,8,1488,2015,0.6000000000000001,0.2999999999999998,0.10000000000000009
Leviathan (2014),4.0,3.5,5.0,4.0,4.6,3.6,3.8,64,145,22521,2014,1.0,0.9999999999999996,0.5
The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),4.0,3.9,3.4,3.4,2.9,2.3,3.6,63,5,17237,2015,0.0,0.6000000000000001,0.10000000000000009
Gett: The Trial of Viviane Amsalem (2015),3.5,3.5,5.0,4.0,4.5,3.6,3.9,59,19,1955,2015,1.0,0.8999999999999999,0.0
Welcome to Me (2015),4.0,3.6,3.6,2.4,3.4,3.4,3.0,56,33,8301,2015,1.2000000000000002,0.0,0.3999999999999999
Dark Places (2015),4.0,3.7,1.3,1.6,2.0,4.0,3.2,55,18,9856,2015,0.30000000000000004,2.0,0.2999999999999998
Red Army (2015),4.5,4.1,4.8,4.3,4.1,3.7,3.8,54,11,2275,2015,0.5,0.39999999999999947,0.40000000000000036
The Stanford Prison Experiment (2015),4.0,3.9,4.2,4.4,3.4,4.2,3.6,51,6,950,2015,0.20000000000000018,0.8000000000000003,0.10000000000000009
Serena (2015),3.0,3.0,0.9,1.2,1.8,2.6,2.7,50,19,12165,2015,0.29999999999999993,0.8,0.0
Escobar: Paradise Lost (2015),4.0,3.9,2.6,2.6,2.8,3.4,3.3,48,7,7819,2015,0.0,0.6000000000000001,0.10000000000000009
When Marnie Was There (2015),4.5,4.1,4.4,4.4,3.6,3.2,3.9,46,29,4160,2015,0.0,0.3999999999999999,0.40000000000000036
Saint Laurent (2015),3.5,3.1,2.6,2.2,2.6,3.4,3.2,43,8,2196,2015,0.3999999999999999,0.7999999999999998,0.3999999999999999
About Elly (2015),4.0,3.6,4.8,4.3,4.4,4.8,4.1,43,23,20659,2015,0.5,0.39999999999999947,0.3999999999999999
The Hunting Ground (2015),4.5,4.1,4.6,3.6,3.8,3.9,3.8,42,6,1196,2015,0.9999999999999996,0.10000000000000009,0.40000000000000036
Seymour: An Introduction (2015),4.5,4.2,5.0,4.4,4.2,3.0,3.8,41,4,243,2015,0.5999999999999996,1.2000000000000002,0.2999999999999998
"Kumiko, The Treasure Hunter (2015)",3.5,3.5,4.4,3.2,3.4,3.2,3.4,41,19,5289,2015,1.2000000000000002,0.19999999999999973,0.0
The Diary of a Teenage Girl (2015),4.0,3.6,4.8,4.0,4.4,3.2,3.5,38,18,1107,2015,0.7999999999999998,1.2000000000000002,0.3999999999999999
The Wrecking Crew (2015),4.5,4.2,4.6,4.2,3.4,3.5,3.9,38,4,732,2015,0.39999999999999947,0.10000000000000009,0.2999999999999998
Tangerine (2015),4.0,3.9,4.8,4.3,4.3,3.6,3.7,36,14,696,2015,0.5,0.6999999999999997,0.10000000000000009
Maps to the Stars (2015),3.5,3.1,3.0,2.3,3.4,2.9,3.2,35,46,22440,2015,0.7000000000000002,0.5,0.3999999999999999
